order,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max
9,1,0,1365,537,537,537,537,537,537
9,1,1,1365,472,472,472,472,472,472
9,1,2,1365,473,473,473,473,473,473
9,1,3,1365,473,473,473,473,473,473
9,2,0,1365,594,595,597,594,595,597
9,2,1,1365,543,544,545,543,544,545
9,2,2,1365,539,539,539,539,539,539
9,2,3,1365,543,544,545,543,544,545
9,4,0,1365,795,799,803,795,799,803
9,4,1,1365,794,798,804,794,798,804
9,4,2,1365,802,809,812,802,809,812
9,4,3,1365,781,796,803,781,796,803
9,8,0,1365,1827,1876,1895,1827,1876,1895
9,8,1,1365,1570,1677,1697,1570,1677,1697
9,8,2,1365,1581,1625,1655,1581,1625,1655
9,8,3,1365,1665,1668,1674,1665,1668,1674
9,16,0,1365,3873,3906,3929,3873,3906,3929
9,16,1,1365,3417,3424,3434,3417,3424,3434
9,16,2,1365,3351,3411,3439,3351,3411,3439
9,16,3,1365,3416,3448,3463,3416,3448,3463
9,24,0,1365,5653,5668,5700,5653,5668,5700
9,24,1,1365,5273,5300,5316,5273,5300,5316
9,24,2,1365,5271,5295,5312,5271,5295,5312
9,24,3,1365,5268,5290,5307,5268,5290,5307
