order,threads,iter,allocs,small,huge
0,8,0,10,17363087,5024
0,8,1,10,17363087,5024
0,8,2,10,17363086,5024
0,8,3,10,17363085,5024
0,8,4,10,17363084,5024
0,8,5,10,17363083,5024
0,8,6,10,17363083,5024
0,8,7,10,17363082,5024
0,8,8,10,17363810,5024
0,8,9,10,17363754,5024
0,8,10,10,17363754,5024
0,8,11,10,17363754,5024
0,8,12,10,17363753,5024
0,8,13,10,17363751,5024
0,8,14,10,17363751,5024
0,8,15,10,17363749,5024
0,8,16,10,17363749,5024
0,8,17,10,17363748,5024
0,8,18,10,17363746,5024
0,8,19,10,17363746,5024
0,8,20,10,17363746,5024
0,8,21,10,17363713,5024
0,8,22,10,17363038,5024
0,8,23,10,17363025,5024
0,8,24,10,17363024,5024
0,8,25,10,17363698,4944
0,8,26,10,17363023,4928
0,8,27,10,17363022,4928
0,8,28,10,17363021,4928
0,8,29,10,17363021,4928
0,8,30,10,17363021,4928
0,8,31,10,17363694,4932
0,8,32,10,17363020,4942
0,8,33,10,17363020,4955
0,8,34,10,17364132,4981
0,8,35,10,17364132,5043
0,8,36,10,17363016,5123
0,8,37,10,17363014,5267
0,8,38,10,17363014,5438
0,8,39,10,17363014,5682
0,8,40,10,17363014,5999
0,8,41,10,17363013,6416
0,8,42,10,17363011,6927
0,8,43,10,17363011,7522
0,8,44,10,17363011,8212
0,8,45,10,17363014,9008
0,8,46,10,17363013,9856
0,8,47,10,17363012,10774
0,8,48,10,17363012,11715
0,8,49,10,17363012,12721
0,8,50,10,17363011,13779
0,8,51,10,17363010,14791
0,8,52,10,17363009,15888
0,8,53,10,17363683,16922
0,8,54,10,17363683,17976
0,8,55,10,17363682,18998
0,8,56,10,17363681,19920
0,8,57,10,17363680,20870
0,8,58,10,17363663,21739
0,8,59,10,17363662,22545
0,8,60,10,17363661,23331
0,8,61,10,17363659,24100
0,8,62,10,17363659,24755
0,8,63,10,17363659,25399
0,8,64,10,17363658,26006
0,8,65,10,17363658,26556
0,8,66,10,17363656,27076
0,8,67,10,17363656,27510
0,8,68,10,17363624,27963
0,8,69,10,17363623,28344
0,8,70,10,17363622,28670
0,8,71,10,17363620,28963
0,8,72,10,17363620,29262
0,8,73,10,17363620,29542
0,8,74,10,17363619,29791
0,8,75,10,17363618,30013
0,8,76,10,17363617,30199
0,8,77,10,17362962,30378
0,8,78,10,17363585,30522
0,8,79,10,17363584,30674
0,8,80,10,17363583,30809
0,8,81,10,17363582,30942
0,8,82,10,17363581,31065
0,8,83,10,17363581,31154
0,8,84,10,17363580,31215
0,8,85,10,17363578,31316
0,8,86,10,17363578,31392
0,8,87,10,17363578,31476
0,8,88,10,17363577,31540
0,8,89,10,17363575,31593
0,8,90,10,17363574,31661
0,8,91,10,17363574,31708
0,8,92,10,17363574,31746
0,8,93,10,17363573,31783
0,8,94,10,17363572,31827
0,8,95,10,17363571,31859
0,8,96,10,17363571,31888
0,8,97,10,17363071,31910
0,8,98,10,17363570,31940
0,8,99,10,17363569,31967
