order,threads,iter,allocs,small,huge
0,8,0,10,17367668,5106
0,8,1,10,17368025,5106
0,8,2,10,17367626,5106
0,8,3,10,17367605,5106
0,8,4,10,17368340,5106
0,8,5,10,17367849,5106
0,8,6,10,17370852,5106
0,8,7,10,17372973,5106
0,8,8,10,17367597,5106
0,8,9,10,17367639,5106
0,8,10,10,17367996,5106
0,8,11,10,17367975,5106
0,8,12,10,17372994,5106
0,8,13,10,17368815,5106
0,8,14,10,17367599,5106
0,8,15,10,17367641,5106
0,8,16,10,17375243,5106
0,8,17,10,17368859,5106
0,8,18,10,17367830,5106
0,8,19,10,17368994,5106
0,8,20,10,17367839,5106
0,8,21,10,17372166,5106
0,8,22,10,17374098,5106
0,8,23,10,17367840,5106
0,8,24,10,17368134,5106
0,8,25,10,17371200,5106
0,8,26,10,17373321,5106
0,8,27,10,17367945,5106
0,8,28,10,17367987,5106
0,8,29,10,17368029,5106
0,8,30,10,17371158,5106
0,8,31,10,17374350,5106
0,8,32,10,17367966,5106
0,8,33,10,17367882,5106
0,8,34,10,17369247,5106
0,8,35,10,17373322,5106
0,8,36,10,17368135,5106
0,8,37,10,17368051,5106
0,8,38,10,17367967,5106
0,8,39,10,17368135,5106
0,8,40,10,17368114,5106
0,8,41,10,17368093,5106
0,8,42,10,17368891,5106
0,8,43,10,17368240,5106
0,8,44,10,17370046,5106
0,8,45,10,17370277,5106
0,8,46,10,17369122,5106
0,8,47,10,17369101,5106
0,8,48,10,17371096,5106
0,8,49,10,17373217,5106
0,8,50,10,17367904,5106
0,8,51,10,17367883,5106
0,8,52,10,17367925,5106
0,8,53,10,17372188,5106
0,8,54,10,17367883,5106
0,8,55,10,17368618,5106
0,8,56,10,17368408,5106
0,8,57,10,17372419,5106
0,8,58,10,17369185,5106
0,8,59,10,17368093,5106
0,8,60,10,17367946,5106
0,8,61,10,17371264,5106
0,8,62,10,17374267,5106
0,8,63,10,17367820,5106
0,8,64,10,17367862,5106
0,8,65,10,17367841,5106
0,8,66,10,17372104,5106
0,8,67,10,17367862,5106
0,8,68,10,17367841,5106
0,8,69,10,17367757,5106
0,8,70,10,17372083,5106
0,8,71,10,17374078,5106
0,8,72,10,17367516,5105
0,8,73,10,17367558,5105
0,8,74,10,17371884,5105
0,8,75,10,17373942,5105
0,8,76,10,17367558,5105
0,8,77,10,17367600,5105
0,8,78,10,17369721,5105
0,8,79,10,17371779,5105
0,8,80,10,17367600,5105
0,8,81,10,17367453,5105
0,8,82,10,17367558,5105
0,8,83,10,17367600,5105
0,8,84,10,17367579,5105
0,8,85,10,17367558,5105
0,8,86,10,17367411,5105
0,8,87,10,17370540,5105
0,8,88,10,17373669,5105
0,8,89,10,17368482,5105
0,8,90,10,17367327,5105
0,8,91,10,17367369,5105
0,8,92,10,17369553,5105
0,8,93,10,17368398,5105
0,8,94,10,17367369,5105
0,8,95,10,17367600,5105
0,8,96,10,17367516,5105
0,8,97,10,17371653,5105
0,8,98,10,17368608,5105
0,8,99,10,17367579,5105
